age,sleep_hours,morning_freshness,screen_time,use_phone_before_sleep,stress_level,phone_anxiety,health_app_use,sleep_quality,phone_affects_sleep,screen_sleep_ratio,age_group,sleep_category,morning_freshness_encoded,use_phone_before_sleep_encoded,phone_anxiety_encoded,health_app_use_encoded,sleep_quality_encoded,phone_affects_sleep_encoded,age_scaled,sleep_hours_scaled,screen_time_scaled,stress_level_scaled,screen_sleep_ratio_scaled
20,3.0,no,14.0,yes,5,no,no,bad,not sure,4.666666666666667,19-25,very_low,0,1,0,0,0,1,0.125,0.05263157894736842,0.6756756756756757,0.4444444444444445,0.5726495726495727
20,6.0,no,7.0,yes,6,no,no,good,yes,1.1666666666666667,19-25,low,0,1,0,0,1,2,0.125,0.3684210526315789,0.2972972972972973,0.5555555555555556,0.12393162393162395
23,10.0,yes,14.0,yes,3,no,no,good,yes,1.4,19-25,high,2,1,0,0,1,2,0.20000000000000007,0.7894736842105263,0.6756756756756757,0.2222222222222222,0.15384615384615385
21,6.0,no,9.0,yes,7,no,no,bad,yes,1.5,19-25,low,0,1,0,0,0,2,0.15000000000000002,0.3684210526315789,0.40540540540540543,0.6666666666666665,0.16666666666666669
20,6.0,no,16.0,yes,7,yes,yes,bad,no,2.6666666666666665,19-25,low,0,1,1,1,0,0,0.125,0.3684210526315789,0.7837837837837838,0.6666666666666665,0.3162393162393162
21,8.0,no,8.0,yes,7,yes,no,good,yes,1.0,19-25,adequate,0,1,1,0,1,2,0.15000000000000002,0.5789473684210527,0.35135135135135137,0.6666666666666665,0.10256410256410257
21,6.0,no,10.0,yes,4,yes,yes,bad,yes,1.6666666666666667,19-25,low,0,1,1,1,0,2,0.15000000000000002,0.3684210526315789,0.4594594594594595,0.3333333333333333,0.1880341880341881
21,3.5,no,10.0,yes,7,no,no,bad,not sure,2.857142857142857,19-25,very_low,0,1,0,0,0,1,0.15000000000000002,0.10526315789473684,0.4594594594594595,0.6666666666666665,0.34065934065934067
21,7.0,yes,4.0,yes,5,no,no,good,yes,0.5714285714285714,19-25,low,2,1,0,0,1,2,0.15000000000000002,0.47368421052631576,0.13513513513513514,0.4444444444444445,0.047619047619047616
21,5.0,no,6.0,yes,5,no,no,good,not sure,1.2,19-25,very_low,0,1,0,0,1,1,0.15000000000000002,0.2631578947368421,0.24324324324324326,0.4444444444444445,0.1282051282051282
20,7.0,no,16.0,yes,7,no,no,bad,not sure,2.2857142857142856,19-25,low,0,1,0,0,0,1,0.125,0.47368421052631576,0.7837837837837838,0.6666666666666665,0.2673992673992674
20,6.5,no,5.0,yes,8,yes,yes,bad,not sure,0.7692307692307693,19-25,low,0,1,1,1,0,1,0.125,0.4210526315789473,0.1891891891891892,0.7777777777777777,0.07297830374753453
21,6.5,no,5.0,yes,7,yes,no,bad,yes,0.7692307692307693,19-25,low,0,1,1,0,0,2,0.15000000000000002,0.4210526315789473,0.1891891891891892,0.6666666666666665,0.07297830374753453
21,7.0,no,6.0,yes,7,no,no,bad,not sure,0.8571428571428571,19-25,low,0,1,0,0,0,1,0.15000000000000002,0.47368421052631576,0.24324324324324326,0.6666666666666665,0.08424908424908426
20,6.0,no,15.0,no,1,yes,no,good,yes,2.5,19-25,low,0,0,1,0,1,2,0.125,0.3684210526315789,0.7297297297297298,0.0,0.2948717948717949
21,7.0,no,10.0,yes,6,yes,yes,bad,yes,1.4285714285714286,19-25,low,0,1,1,1,0,2,0.15000000000000002,0.47368421052631576,0.4594594594594595,0.5555555555555556,0.1575091575091575
21,7.0,no,9.0,yes,2,yes,no,bad,yes,1.2857142857142858,19-25,low,0,1,1,0,0,2,0.15000000000000002,0.47368421052631576,0.40540540540540543,0.1111111111111111,0.1391941391941392
21,5.0,no,8.0,yes,4,no,no,bad,not sure,1.6,19-25,very_low,0,1,0,0,0,1,0.15000000000000002,0.2631578947368421,0.35135135135135137,0.3333333333333333,0.17948717948717952
21,7.0,no,12.0,yes,6,no,no,bad,yes,1.7142857142857142,19-25,low,0,1,0,0,0,2,0.15000000000000002,0.47368421052631576,0.5675675675675675,0.5555555555555556,0.19413919413919417
21,3.5,no,16.0,yes,6,yes,yes,bad,yes,4.571428571428571,19-25,very_low,0,1,1,1,0,2,0.15000000000000002,0.10526315789473684,0.7837837837837838,0.5555555555555556,0.5604395604395604
21,5.0,no,6.0,yes,7,no,no,bad,not sure,1.2,19-25,very_low,0,1,0,0,0,1,0.15000000000000002,0.2631578947368421,0.24324324324324326,0.6666666666666665,0.1282051282051282
55,7.0,yes,12.0,yes,5,no,yes,good,not sure,1.7142857142857142,50+,low,2,1,0,1,1,1,1.0,0.47368421052631576,0.5675675675675675,0.4444444444444445,0.19413919413919417
25,6.5,no,7.5,yes,5,yes,no,bad,not sure,1.1538461538461537,19-25,low,0,1,1,0,0,1,0.25,0.4210526315789473,0.32432432432432434,0.4444444444444445,0.1222879684418146
37,8.0,yes,4.0,no,2,no,no,good,not sure,0.5,36-50,adequate,2,0,0,0,1,1,0.55,0.5789473684210527,0.13513513513513514,0.1111111111111111,0.038461538461538464
20,6.0,no,8.0,yes,3,no,yes,bad,yes,1.3333333333333333,19-25,low,0,1,0,1,0,2,0.125,0.3684210526315789,0.35135135135135137,0.2222222222222222,0.14529914529914528
20,8.0,no,10.0,yes,1,no,yes,bad,yes,1.25,19-25,adequate,0,1,0,1,0,2,0.125,0.5789473684210527,0.4594594594594595,0.0,0.13461538461538464
22,5.0,no,2.0,yes,4,no,no,bad,yes,0.4,19-25,very_low,0,1,0,0,0,2,0.17500000000000004,0.2631578947368421,0.02702702702702703,0.3333333333333333,0.025641025641025647
19,6.0,yes,10.0,yes,7,yes,no,good,yes,1.6666666666666667,19-25,low,2,1,1,0,1,2,0.10000000000000003,0.3684210526315789,0.4594594594594595,0.6666666666666665,0.1880341880341881
20,8.0,yes,4.0,yes,7,no,no,good,yes,0.5,19-25,adequate,2,1,0,0,1,2,0.125,0.5789473684210527,0.13513513513513514,0.6666666666666665,0.038461538461538464
23,9.0,no,10.0,yes,7,yes,yes,good,not sure,1.1111111111111112,19-25,adequate,0,1,1,1,1,1,0.20000000000000007,0.6842105263157894,0.4594594594594595,0.6666666666666665,0.11680911680911683
20,6.0,yes,11.0,yes,7,no,yes,bad,yes,1.8333333333333333,19-25,low,2,1,0,1,0,2,0.125,0.3684210526315789,0.5135135135135136,0.6666666666666665,0.20940170940170943
19,5.0,no,10.0,yes,7,yes,no,good,yes,2.0,19-25,very_low,0,1,1,0,1,2,0.10000000000000003,0.2631578947368421,0.4594594594594595,0.6666666666666665,0.23076923076923078
21,10.0,no,8.0,yes,7,yes,no,bad,yes,0.8,19-25,high,0,1,1,0,0,2,0.15000000000000002,0.7894736842105263,0.35135135135135137,0.6666666666666665,0.07692307692307694
